,society,bedRoom,bathroom,balcony,type,sector,Super_build_area,Carpet_area,Study Room,Servant Room,Pooja Room,age,luxury_score,furnishing_type,location_score,area_ratio,price
18,La Vida by Tata Housing,3,3,3+,flat,sector 113,2219.217,1551.9,0,1,0,New Property,medium,1,41,517.3,2.85
19,M3M Golfestate,3,4,2,flat,sector 65,3146.0,2200.0,0,0,0,relatively new,low,1,51,733.3333333333334,6.15
20,Central Park Resort Belgravia Residences,3,5,3+,flat,sector 48,4118.4,2880.0,0,1,0,old property,low,2,35,960.0,6.25
21,Apex builders,2,2,2,flat,sector 37c,1072.5,750.0,0,0,0,relatively new,low,1,21,375.0,0.42
22,Ompee K S Residency,2,2,2,flat,sector 110,849.42,594.0,0,0,0,relatively new,low,1,53,297.0,1.6
23,Bhawna CGHS,4,4,3+,flat,sector 43,4290.0,3000.0,0,0,1,old property,medium,2,33,750.0,3.25
24,Sare Green Parc,3,2,2,flat,sector 92,1487.2,1040.0,0,0,0,relatively new,low,1,42,346.6666666666667,0.85
25,Chintels Paradiso,3,3,2,flat,sector 109,2552.55,1785.0,0,1,0,old property,medium,1,25,595.0,1.8
26,Ashiana Mulberry,2,2,3+,flat,sohna,1730.3,1210.0,0,0,0,New Property,medium,1,25,605.0,0.74
27,Mapsko Casa Bella,4,4,3+,flat,sector 82,1961.96,1372.0,0,1,0,relatively new,high,1,33,343.0,1.3
28,Pooja Apartment,2,2,2,flat,sector 5,1001.0,700.0,0,0,0,relatively new,low,1,43,350.0,0.25
29,Signature Global Park,3,2,3+,flat,sohna,1081.08,756.0,0,0,0,relatively new,low,1,42,252.0,0.95
30,DLF New Town Heights 1,4,4,3+,flat,sector 90,3899.61,2727.0,0,1,1,relatively new,medium,2,25,681.75,1.99
31,Paras Dews,2,2,2,flat,sector 106,1980.55,1385.0,0,0,0,New Property,medium,1,52,692.5,1.05
32,Godrej Air,3,3,3+,flat,sector 85,2615.47,1829.0,0,0,0,relatively new,medium,1,41,609.6666666666666,1.83
33,DLF The Primus,3,3,3+,flat,sector 82a,3003.0,2100.0,0,1,0,relatively new,medium,0,23,700.0,2.25
34,DLF Regency Park 1,2,2,2,flat,sector 28,1573.0,1100.0,0,0,0,relatively new,medium,1,33,550.0,1.6
35,Supertech Araville,2,2,3,flat,sector 79,2187.9,1530.0,1,0,0,New Property,low,0,5,765.0,0.83
36,Maxworth City Residences,2,3,2,flat,sector 10a,1787.5,1250.0,0,0,0,New Property,low,1,14,625.0,0.8
37,Deepak Minda,4,4,3+,flat,manesar,3790.93,2651.0,0,0,0,old property,low,1,14,662.75,1.25
38,Shree Shyam residency,1,1,1,flat,sector 21,657.8,460.0,0,0,0,relatively new,low,1,34,460.0,0.23
39,Pivotal Devaan,1,1,1,flat,sector 84,643.5,450.0,0,0,0,New Property,low,2,36,450.0,0.3
40,CHD Avenue 71,2,2,2,flat,sector 71,1199.198,838.5999999999999,0,0,0,relatively new,low,1,30,419.3,0.79
41,Sare Crescent Parc Royal Greens Phase 1,4,5,3+,flat,sector 92,1898.897,1327.9,0,1,0,old property,low,1,5,331.975,0.95
42,Umang Winter Hills,2,2,2,flat,sector 77,1430.0,1000.0,0,0,0,relatively new,medium,1,49,500.0,0.99
43,Ramprastha Skyz,3,3,3+,flat,sector 37d,1726.725,1207.5,0,0,0,relatively new,high,1,21,402.5,1.1
44,4S Aradhya Homes,4,4,3,flat,sector 67a,2202.2,1540.0,0,0,0,New Property,low,2,42,385.0,1.9
45,BPTP Freedom Park Life,3,3,3,flat,sector 57,2252.25,1575.0,0,0,0,old property,low,1,9,525.0,2.5
46,Godrej Habitat,2,2,2,flat,sector 3,1057.0559999999998,739.1999999999999,0,0,0,relatively new,low,1,52,369.6,1.1
47,Ramsons Kshitij,2,2,2,flat,sector 95,560.56,392.0,0,0,0,relatively new,low,1,0,196.0,0.29
48,Raheja Sampada,3,2,3,flat,sector 92,1371.37,959.0,0,0,0,relatively new,low,1,27,319.66666666666663,0.65
49,Signature The Serenas,2,2,2,flat,sohna,759.3299999999999,531.0,0,0,0,New Property,low,1,34,265.5,0.5
50,Pareena Laxmi Apartments,2,2,1,flat,sector 99a,815.0999999999999,570.0,0,0,0,New Property,low,1,39,285.0,0.32
51,Satya The Hermitage,2,3,3,flat,sector 103,2076.36,1452.0,0,1,0,relatively new,medium,2,50,726.0,0.93
52,Smart World Gems,3,3,2,flat,sector 89,2034.89,1423.0,0,0,0,New Property,low,1,52,474.3333333333333,1.2
53,GLS Arawali Homes,2,2,2,flat,sohna,915.2,640.0,0,0,0,relatively new,low,1,7,320.0,0.3
54,Signature Global Park,2,2,3,flat,sohna,1175.46,822.0,0,0,0,New Property,medium,1,42,411.0,0.56
55,Bestech Park View City 2,3,4,3+,flat,sector 49,2161.159,1511.3,0,0,0,old property,low,1,52,503.76666666666665,2.7
56,AFNHB Jalvayu Vihar,3,2,2,flat,sector 30,1558.7,1090.0,0,0,0,undefined,medium,0,29,363.3333333333333,1.45
57,M3M Soulitude,3,3,0,flat,sector 89,1701.6999999999998,1190.0,0,0,0,New Property,low,1,32,396.6666666666667,1.25
58,HCBS Sports Ville,2,2,1,flat,sohna,919.49,643.0,0,0,0,relatively new,low,1,0,321.5,0.28
59,Brisk Lumbini Terrace Homes,3,3,1,flat,sector 109,3113.11,2177.0,0,0,0,old property,low,1,19,725.6666666666666,1.38
60,HUDA Ashok Vihar Phase 1,2,2,1,flat,sector 3a,929.5,650.0,0,0,0,relatively new,low,1,34,325.0,0.43
61,My Home,2,1,1,flat,sector 2,1287.0,900.0,0,0,0,relatively new,low,1,53,450.0,0.28
62,M3M Heights,2,2,2,flat,sector 65,1430.0,1000.0,0,0,0,relatively new,low,1,52,500.0,2.0
63,Signature Global Park,3,2,2,flat,sohna,1121.12,784.0,0,0,0,relatively new,high,1,42,261.3333333333333,0.9
64,Signature Global Park,3,2,0,flat,sector 36 sohna,1281.28,896.0,0,0,0,relatively new,low,1,42,298.6666666666667,0.9
65,Godrej Nature Plus,3,3,0,flat,sector-33 sohna,2283.424,1596.8000000000002,0,0,0,New Property,low,1,41,532.2666666666668,1.75
66,DLF New Town Heights 1,4,4,3+,flat,sector 90,2729.727,1908.9,0,0,0,old property,low,1,25,477.225,1.8
67,Central Park Flower Valley Aqua Front Towers,3,3,2,flat,sector-33 sohna,1790.7889999999998,1252.3,0,0,0,Under Construction,low,1,28,417.4333333333333,2.1
68,Ambience Creacions,2,2,2,flat,sector 22,1973.4,1380.0,0,0,0,relatively new,low,1,49,690.0,2.0
69,Signature Global City 63A,3,3,2,flat,sector 63a,1761.76,1232.0,0,0,0,undefined,low,1,43,410.6666666666667,2.0
70,M3M Skycity,3,3,3,flat,sector 65,1829.828,1279.6,0,0,0,relatively new,medium,1,43,426.5333333333333,2.85
71,Smart World Orchard,2,2,2,flat,sector 61,1716.0,1200.0,1,0,0,relatively new,low,1,51,600.0,1.65
72,HCBS Sports Ville,1,1,2,flat,sohna,463.32,324.0,0,0,0,New Property,medium,1,0,324.0,0.24
73,Godrej Nature Plus,3,3,3+,flat,sector-33 sohna,2758.47,1929.0,0,1,0,New Property,medium,1,41,643.0,1.9
74,Godrej Aria,2,2,3,flat,sector 79,958.864907,670.5349,0,0,0,New Property,low,1,49,335.26745,1.1
75,Ramsons Kshitij,2,2,1,flat,sector 95,633.49,443.0,0,0,0,relatively new,low,0,0,221.5,0.32
76,Conscient One,1,1,2,flat,sector 109,898.04,628.0,0,0,0,relatively new,low,1,19,628.0,1.7
77,Pareena Laxmi Apartments,2,2,2,flat,sector 99a,606.3199999999999,424.0,0,0,0,New Property,low,1,39,212.0,0.32
78,Not Applicable,2,2,1,flat,sector 3a,1072.5,750.0,0,0,0,relatively new,low,2,34,375.0,0.42
79,Godrej Nature Plus,3,2,3+,flat,sector-33 sohna,2226.51,1557.0,0,0,0,New Property,low,1,41,519.0,1.55
80,Smartworld 1DXP,4,4,3+,flat,sector 113,3713.71,2597.0,1,1,1,New Property,low,0,53,649.25,2.75
81,Ansal Housing Highland Park,3,3,3+,flat,sector 103,1510.08,1056.0,0,0,1,New Property,medium,1,22,352.0,1.25
82,Trisara Our Homes 3,2,2,1,flat,sohna,899.4699999999999,629.0,0,0,0,New Property,low,1,45,314.5,0.34
83,Emaar MGF Palm Hills,3,3,3,flat,sector 77,1683.11,1177.0,0,0,0,relatively new,medium,2,42,392.3333333333333,1.5
84,Pareena Coban Residences,3,3,3,flat,sector 99a,2002.0,1400.0,0,0,0,relatively new,low,1,55,466.6666666666667,1.6
85,La Vida by Tata Housing,2,2,2,flat,sector 113,1824.68,1276.0,0,0,0,New Property,low,1,41,638.0,1.5
86,La Vida by Tata Housing,2,2,2,flat,sector 113,1277.2759999999998,893.1999999999999,0,0,0,New Property,medium,1,41,446.6,1.5
87,Ardee City,4,4,3,flat,sector 52,1641.64,1148.0,0,0,0,old property,medium,1,32,287.0,1.5
88,M3M One Key Resiments,1,1,0,flat,sector 67,697.8399999999999,488.0,0,0,0,relatively new,low,1,34,488.0,0.8
89,Ansal Heights 86,3,2,1,flat,sector 86,1691.6899999999998,1183.0,0,0,0,New Property,medium,1,27,394.3333333333333,1.25
90,MVN Athens,2,2,1,flat,sohna,687.8299999999999,481.0,0,0,0,relatively new,low,1,6,240.5,0.26
91,Signature The Serenas,2,2,1,flat,sohna,759.3299999999999,531.0,0,0,0,New Property,low,1,34,265.5,0.42
92,Sushant Lok 1 Builder Floors,3,3,2,flat,sector 43,1936.935,1354.5,0,0,0,New Property,low,1,42,451.5,2.5
93,Umang Monsoon Breeze,3,3,2,flat,sector 78,2651.22,1854.0,0,1,1,old property,medium,1,16,618.0,0.9
94,GLS Avenue 51,2,2,1,flat,sector 92,845.13,591.0,1,0,1,relatively new,low,1,9,295.5,0.42
95,Signature Global Solera,2,2,1,flat,sector 107,546.5459999999999,382.2,0,0,0,relatively new,low,1,33,191.1,0.5
96,Supertech Araville,2,2,3,flat,sector 79,2002.0,1400.0,1,0,0,relatively new,low,1,5,700.0,0.9
97,Greenopolis,3,3,3+,flat,sector 89,2731.3,1910.0,0,1,0,New Property,low,1,12,636.6666666666666,1.3
98,Central Park Flower Valley Aqua Front Towers,3,3,3,flat,sector-33 sohna,1790.7889999999998,1252.3,0,0,0,Under Construction,low,1,28,417.4333333333333,1.7
99,Sare Homes,4,3,0,flat,sector 92,2333.76,1632.0,0,0,0,relatively new,low,1,5,408.0,1.25
100,micasa sec 68,2,2,3,flat,sohna road,1751.75,1225.0,0,0,0,New Property,low,1,46,612.5,1.5
101,Eldeco Accolade,3,3,3+,flat,sohna,1844.7,1290.0,0,0,0,relatively new,low,1,18,430.0,1.3
102,Hero Homes,3,3,3,flat,sector 104,1690.689,1182.3,0,0,0,relatively new,low,1,42,394.1,1.75
103,Shyam Sadan,2,2,1,flat,sector 5,1001.0,700.0,1,0,0,relatively new,low,2,34,350.0,0.55
104,M3M Heights,3,3,3,flat,sector 65,1829.828,1279.6,0,0,0,relatively new,low,1,52,426.5333333333333,2.5
105,hanumanta apartment,2,2,1,flat,sector 33,810.81,567.0,0,0,0,old property,low,1,14,283.5,0.43
106,Raheja Vedaanta,2,2,1,flat,sector 108,1644.5,1150.0,0,0,0,old property,low,1,0,575.0,0.7
107,BPTP Terra,4,3,3,flat,sector 37d,1930.5,1350.0,0,0,0,relatively new,low,1,42,337.5,1.95
108,Green Court,2,2,1,flat,sector 90,895.18,626.0,0,0,0,New Property,low,2,38,313.0,0.45
109,M3M Golf Hills Phase 1,3,2,3,flat,sector 79,1571.57,1099.0,0,0,0,relatively new,low,1,5,366.3333333333333,1.7
110,Abhinav Group Housing Society,3,2,3,flat,sector 9,2574.0,1800.0,0,0,0,New Property,low,1,36,600.0,1.1
111,Pyramid Urban Homes 2,2,2,1,flat,sector 86,743.6,520.0,0,0,0,relatively new,low,1,25,260.0,0.5
112,M3M Heights,3,3,3,flat,sector 65,1829.828,1279.6,0,0,0,relatively new,medium,1,52,426.5333333333333,2.8
113,Smart World Orchard,3,3,2,flat,sector 61,2330.9,1630.0,0,0,0,New Property,low,1,59,543.3333333333334,2.2
114,Ashiana Anmol,2,2,2,flat,sohna,1359.9299999999998,951.0,0,0,0,relatively new,medium,0,40,475.5,0.9
115,Signature Signum 95A,2,2,2,flat,sector 95a,735.02,514.0,0,0,0,New Property,low,1,0,257.0,0.4
116,Umang Winter Hills,3,3,3+,flat,sector 77,1714.57,1199.0,0,0,0,New Property,medium,2,49,399.6666666666667,1.35
117,ROF Ananda,1,1,1,flat,sector 95,380.38,266.0,0,0,0,New Property,low,1,24,266.0,0.25
118,Smart World Gems,2,2,3,flat,sector 89,1580.15,1105.0,1,0,0,New Property,low,1,52,552.5,0.88
119,Assotech Blith,2,2,2,flat,sector 99,1366.3649999999998,955.5,0,0,0,New Property,medium,2,43,477.75,1.15
120,Palam Vihar Society,4,4,3+,flat,sector 2,6435.0,4500.0,1,0,0,New Property,medium,1,61,1125.0,3.35
121,DLF New Town Heights,4,4,3+,flat,sector 91,2366.364,1654.8,0,1,0,old property,medium,1,50,413.7,1.65
122,Krrish Florence Estate,3,3,3,flat,sector 70,1866.865,1305.5,0,0,0,Under Construction,low,1,34,435.1666666666667,1.25
123,Piedmont Taksila heights,3,3,3+,flat,sector 37c,2197.91,1537.0,0,0,0,relatively new,low,2,21,512.3333333333334,1.0
124,SS The Leaf,3,5,3,flat,sector 85,2410.408,1685.6,0,0,0,New Property,low,1,42,561.8666666666667,2.15
125,M3M Urbana,1,1,1,flat,sector 67,944.944,660.8000000000001,0,0,0,relatively new,low,1,26,660.8000000000001,1.0
126,AIPL Zen Residences,2,2,3,flat,sector 70a,1263.262,883.4,0,0,0,New Property,medium,1,42,441.7,1.65
127,DLF Regal Gardens,4,3,3+,flat,sector 90,3167.45,2215.0,0,0,0,old property,medium,1,24,553.75,1.79
128,Suncity Vatsal Valley,3,3,3,flat,sector 2,1086.8,760.0,0,0,0,Under Construction,low,1,51,253.3333333333333,1.45
129,Shree shyam residency,1,1,1,flat,sector 21,664.9499999999999,465.0,0,0,0,relatively new,low,1,34,465.0,0.22
130,Project Krishna Colony,2,2,1,flat,sector 7,800.8,560.0,0,0,0,relatively new,low,1,24,280.0,0.36
131,MVN Athens,2,2,1,flat,sohna,671.528,469.6,0,0,0,relatively new,low,1,6,234.8,0.25
132,M3M Antalya Hills,3,3,3+,flat,sector 79,1577.29,1103.0,1,0,0,New Property,low,1,49,367.6666666666667,1.15
133,M3M Capital,4,4,3+,flat,sector 113,3286.14,2298.0,1,1,0,New Property,low,1,51,574.5,2.9
134,Ansal Heights,2,2,3,flat,sector 92,1321.3199999999997,924.0,0,0,0,Under Construction,low,1,0,462.0,0.6
135,Malibu Towne,3,3,0,flat,sector 47,3432.0,2400.0,0,0,0,old property,low,2,38,800.0,2.4
136,AIPL Zen Residences,2,2,3,flat,sector 70a,1804.66,1262.0,0,0,0,relatively new,low,1,26,631.0,1.25
137,M3M Heights,2,2,3+,flat,sector 65,1639.352,1146.4,0,0,0,relatively new,low,1,52,573.2,2.15
138,HCBS Sports Ville,2,2,1,flat,sohna,742.17,519.0,0,0,0,relatively new,low,1,0,259.5,0.3
139,HCBS Sports Ville,2,2,2,flat,sohna,929.5,650.0,0,0,0,relatively new,low,1,0,325.0,0.38
140,JMD Empire,2,2,3,flat,sector 62,1573.0,1100.0,0,0,0,relatively new,low,1,44,550.0,1.5
141,Assotech Blith,3,4,0,flat,sector 99,2745.6,1920.0,0,0,0,New Property,low,1,43,640.0,1.6
142,Pareena Mi Casa,4,4,3,flat,sector 68,2000.999,1399.3,0,0,0,New Property,low,1,52,349.825,1.7
143,Suncity Heights,3,3,3+,flat,sector 54,3291.86,2302.0,0,0,1,relatively new,high,2,50,767.3333333333334,3.25
144,Lotus Homz,2,2,3,flat,sector 111,1015.3,710.0,0,0,0,New Property,low,1,42,355.0,0.6
145,Maruti Vihar Colony,2,1,1,flat,sector 28,1528.6699999999998,1069.0,0,0,0,undefined,low,1,45,534.5,0.95
146,Supertech Basera,2,2,1,flat,sector 79,673.53,471.0,0,0,0,New Property,medium,1,5,235.5,0.36
147,Signature Global the Millennia,2,2,3,flat,sector 37d,600.6,420.0,0,0,0,New Property,low,1,25,210.0,0.55
148,"Ganpati apartment  2, Laxman Vihar Phase 1",2,2,1,flat,sector 3a,1215.5,850.0,0,0,0,relatively new,low,1,34,425.0,0.45
149,M3M Golfestate,2,2,2,flat,sector 79,2002.0,1400.0,1,1,0,relatively new,medium,0,5,700.0,1.4
150,Eldeco Accolade,2,2,3+,flat,sohna,1214.07,849.0,1,0,0,New Property,low,1,18,424.5,0.95
151,M3M Heights,3,3,3,flat,sector 65,1829.828,1279.6,0,0,0,relatively new,medium,1,52,426.5333333333333,3.0
152,M3M Heights,3,3,2,flat,sector 65,2042.04,1428.0,0,1,0,relatively new,low,1,52,476.0,3.67
153,M3M Heights,3,3,3,flat,sector 65,1829.828,1279.6,0,0,0,New Property,low,1,52,426.5333333333333,3.29
154,M3M Heights,2,2,3,flat,sector 65,1262.2609999999995,882.6999999999999,0,0,0,Under Construction,low,2,52,441.35,2.33
155,South City 1 Floors,4,4,3,flat,sector 41,3317.6,2320.0,0,0,0,undefined,low,1,47,580.0,3.4
156,Zara Aavaas,2,2,1,flat,sector 104,568.5679999999999,397.6,0,0,0,relatively new,low,1,42,198.8,0.4
157,Ramprastha The Edge Towers,2,2,3,flat,sector 37d,1430.0,1000.0,0,0,0,New Property,low,1,40,500.0,0.71
158,Supertech Araville,2,2,3+,flat,sector 79,1296.2949999999998,906.5,0,0,0,New Property,medium,1,5,453.25,0.78
159,La Vida by Tata Housing,3,2,2,flat,sector 113,1580.579,1105.3,0,0,0,New Property,low,1,41,368.4333333333333,1.85
160,Shapoorji Pallonji Joyville Gurugram,2,2,1,flat,sector 102,903.9029999999998,632.0999999999999,0,0,0,relatively new,medium,1,34,316.04999999999995,1.1
161,Smart World Orchard,2,2,2,flat,sector 61,1315.6,920.0,1,0,0,relatively new,medium,1,51,460.0,1.41
162,Supertech Araville,3,3,3,flat,sector 79,2781.35,1945.0,0,0,0,relatively new,low,1,5,648.3333333333334,1.45
163,Smart World Orchard,3,3,2,flat,sector 61,2288.0,1600.0,0,0,0,New Property,low,1,51,533.3333333333334,2.2
164,Unitech The Residences,2,2,3,flat,sector 33,1430.0,1000.0,0,0,0,old property,low,2,34,500.0,1.1
165,Emaar Imperial Gardens,3,4,3+,flat,sector 102,2895.75,2025.0,0,1,0,relatively new,medium,1,41,675.0,2.05
166,Sare Homes,3,2,3,flat,sector 92,1716.0,1200.0,0,0,0,old property,low,2,5,400.0,0.6
167,Pivotal Devaan,2,2,2,flat,sector 84,690.6899999999999,483.0,0,0,0,New Property,low,2,36,241.5,0.41
168,"M M Residency, Krishna Colony, Gurgaon",2,2,1,flat,sector 7,1287.0,900.0,0,0,0,relatively new,low,1,27,450.0,0.54
169,Park Royal Apartment,3,4,3,flat,sector 56,2931.5,2050.0,0,1,0,undefined,low,1,50,683.3333333333334,1.85
170,Signature Global the Millennia,2,2,3,flat,sector 37d,858.0,600.0,0,0,0,New Property,medium,1,25,300.0,0.55
171,M3M Heights,2,2,3,flat,sector 65,2049.19,1433.0,1,0,0,Under Construction,low,1,52,716.5,2.29
172,Shapoorji Pallonji Joyville Gurugram,2,2,2,flat,sector 102,858.0,600.0,0,0,0,New Property,low,1,34,300.0,0.97
173,Tulip Monsella,3,4,3,flat,sector 53,2942.94,2058.0,0,1,0,New Property,low,0,37,686.0,8.25
174,Shyamkunj ashok vihar pahse 2,2,2,1,flat,sector 5,965.25,675.0,0,0,0,relatively new,low,1,34,337.5,0.3
175,Godrej Nature Plus,2,2,3,flat,sector-33 sohna,1645.9299999999998,1151.0,0,0,0,Under Construction,low,1,41,575.5,1.65
176,M3M Heights,2,2,2,flat,sector 65,1261.26,882.0,0,0,0,relatively new,low,1,52,441.0,1.99
177,M3M The Marina,2,2,3,flat,sector 68,1144.0,800.0,0,0,0,relatively new,low,1,42,400.0,1.0
178,Emaar Digihomes,3,3,3,flat,sector 62,2288.0,1600.0,1,0,0,relatively new,low,1,44,533.3333333333334,4.25
179,Mapsko Paradise,3,3,3,flat,sector 83,1916.2,1340.0,0,0,0,old property,low,1,22,446.6666666666667,0.95
180,Cancon Enclave,3,2,2,flat,sector 4,1930.5,1350.0,0,0,0,New Property,low,2,34,450.0,1.05
181,Tata Primanti,4,5,3+,flat,sector 72,2907.905,2033.5,0,1,0,New Property,medium,1,36,508.375,4.1
182,MRG World Ultimus,2,2,2,flat,sector 90,1023.88,716.0,0,0,0,relatively new,low,1,51,358.0,0.5
183,sonata group housing Gh 24,4,3,3,flat,manesar,4004.0,2800.0,0,1,0,New Property,low,1,14,700.0,1.65
184,BPTP Pedestal,3,3,3,flat,sector 70a,2252.25,1575.0,0,1,0,New Property,medium,1,32,525.0,1.6
185,HSIIDC Sidco Aravali,4,4,3,flat,manesar,2469.467,1726.9,0,0,0,old property,low,1,14,431.725,0.9
186,Godrej Aria,2,2,3+,flat,sector 79,1352.351,945.7,0,0,0,New Property,low,2,49,472.85,1.1
187,Assotech Blith,2,2,3+,flat,sector 99,1366.3649999999998,955.5,0,0,0,relatively new,low,1,43,477.75,0.92
188,Sare Crescent Parc,3,3,2,flat,sector 92,1441.4399999999998,1008.0,0,0,0,Under Construction,low,1,5,336.0,0.7
189,Unitech Vistas,3,4,2,flat,sector 70,1566.5649999999998,1095.5,0,0,0,relatively new,low,1,18,365.1666666666667,0.99
190,Ansal Housing Highland Park,2,2,3,flat,sector 103,1362.361,952.7,0,0,0,New Property,medium,1,22,476.35,0.88
191,Tulip White,3,2,2,flat,sector 69,1896.18,1326.0,0,0,0,old property,low,1,35,442.0,0.91
192,Mapsko Casa Bella,3,4,3+,flat,sector 82,1961.96,1372.0,0,0,0,relatively new,low,1,33,457.3333333333333,1.25
193,ILD Grand,2,2,3+,flat,sector 37c,1498.64,1048.0,0,0,0,relatively new,low,1,34,524.0,0.66
194,M3M Capital,2,2,0,flat,sector 113,1498.64,1048.0,0,0,0,New Property,low,1,51,524.0,1.83
195,Unitech Vistas,2,2,2,flat,sector 70,1096.095,766.5,0,0,0,relatively new,low,1,18,383.25,0.53
196,Ramprastha The Edge Towers,2,2,3,flat,sector 37d,1716.0,1200.0,0,0,0,relatively new,medium,1,40,600.0,0.8
197,Smart World Gems,3,2,0,flat,sector 89,1627.912,1138.4,0,0,0,New Property,low,1,52,379.4666666666667,1.71
198,Sapphire Eighty Three,1,1,0,flat,sector 83,800.8,560.0,0,0,0,relatively new,low,1,14,560.0,0.65
199,Sare Crescent Parc,3,3,3+,flat,sector 92,1742.312,1218.4,0,0,0,relatively new,low,1,0,406.1333333333334,0.82
200,DLF The Grove,3,3,3,flat,sector 54,1581.008,1105.6,0,0,0,relatively new,low,1,42,368.53333333333336,5.7
201,Baani City Center,1,1,2,flat,sector 63,858.0,600.0,0,0,0,New Property,low,1,26,600.0,0.88
202,Bestech Park View Residency,3,3,3+,flat,sector 3,1781.78,1246.0,0,0,0,old property,medium,0,51,415.3333333333333,1.4
203,CGHS Agrim Apartment,3,2,3+,flat,sector 45,2502.5,1750.0,0,0,0,undefined,low,2,40,583.3333333333334,1.49
204,Godrej Nature Plus,2,2,3,flat,sector-33 sohna,1980.55,1385.0,0,0,0,Under Construction,medium,1,41,692.5,1.4
205,DLF Carlton Estate,3,3,2,flat,sector 53,1408.407,984.9,0,0,0,old property,medium,1,35,328.3,2.0
206,Railway Officers RPF Society,4,3,3,flat,sector 9a,2582.58,1806.0,0,1,0,undefined,low,1,27,451.5,1.25
207,Godrej Air,2,2,1,flat,sector 85,1415.98028,990.196,0,0,0,relatively new,medium,1,41,495.098,1.05
208,Maruti Vihar,1,1,1,flat,sector 28,1101.1,770.0,1,0,1,undefined,medium,2,37,770.0,1.0
209,Shapoorji Pallonji Joyville Gurugram,3,3,3,flat,sector 102,1787.5,1250.0,0,0,0,relatively new,medium,1,34,416.6666666666667,2.12
210,The Close North,3,3,3+,flat,sector 50,2607.605,1823.5,0,1,0,old property,medium,2,42,607.8333333333333,3.0
211,Emaar Gurgaon Greens,3,3,3,flat,sector 102,1461.46,1022.0,0,1,0,relatively new,medium,1,42,340.6666666666667,1.35
212,Landmark The Residency,2,2,2,flat,sector 103,1351.3499999999997,945.0,0,0,0,relatively new,low,1,22,472.5,0.9
213,M3M Capital,4,4,3+,flat,sector 113,2288.0,1600.0,1,0,0,New Property,high,1,51,400.0,2.37
214,Emaar Imperial Gardens,3,3,3+,flat,sector 102,2860.0,2000.0,0,1,0,relatively new,medium,2,41,666.6666666666666,1.98
215,DLF Belvedere Towers,4,4,3,flat,sector 25,3003.0,2100.0,0,1,0,undefined,low,2,45,525.0,3.7
216,m3m crown,4,4,3+,flat,sector 111,3932.5,2750.0,0,0,0,New Property,medium,1,61,687.5,4.67
217,Godrej 101,2,2,3,flat,sector 79,1573.5719999999997,1100.4,0,0,0,New Property,low,1,16,550.1999999999999,1.29
218,Bestech Park View Residency,3,3,3+,flat,sector 3,1781.78,1246.0,0,0,0,old property,medium,0,51,415.3333333333333,1.4
219,DLF Carlton Estate,3,3,2,flat,sector 53,1408.407,984.9,0,0,0,old property,medium,1,35,328.3,2.0
220,Railway Officers RPF Society,4,3,3,flat,sector 9a,2582.58,1806.0,0,1,0,undefined,low,1,27,451.5,1.25
